#1217 - Fazughli

culture = nubian #Shilluk
religion = animism
capital = "Alays"
native_size = 80
native_ferocity = 4
native_hostileness = 9 
trade_goods = unknown
hre = no
base_tax = 1 
base_production = 1
base_manpower = 2
discovered_by = ETH
discovered_by = ADA
discovered_by = NUB
discovered_by = ZAN
discovered_by = ZIM
discovered_by = AJU
discovered_by = MBA
discovered_by = MDI
discovered_by = MLI
discovered_by = SFA
discovered_by = ALO
discovered_by = MAK
discovered_by = muslim
discovered_by = ottoman

1445.1.2 = {
 } #No changes from EGMapEdit
